id,cases,file_name,file_id,data_type,data_category,experimental_strategy
f2445d9f-99a0-42f1-8297-6ce25ec1c952,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",c751d611-341e-4721-8694-afc00331d760.somatic.SV.bedpe,f2445d9f-99a0-42f1-8297-6ce25ec1c952,Structural Rearrangement,Somatic Structural Variation,WGS
4208d9b2-dad1-4542-add6-00f7b7a6deb8,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",a380b15f-e510-4904-82e8-71cc1b48a72b.mirbase21.isoforms.quantification.txt,4208d9b2-dad1-4542-add6-00f7b7a6deb8,Isoform Expression Quantification,Transcriptome Profiling,miRNA-Seq
29ee11cf-f6e2-431c-aff2-8e34ba821868,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G04_741546.grch38.seg.v2.txt,29ee11cf-f6e2-431c-aff2-8e34ba821868,Copy Number Segment,Copy Number Variation,Genotyping Array
1de1ee37-199b-47e2-b77b-b8d032ad374b,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",TCGA-BRCA.b86a641f-6d4b-43ee-bf83-45e4890c3f95.wgs.varscan2.raw_somatic_mutation.vcf.gz,1de1ee37-199b-47e2-b77b-b8d032ad374b,Raw Simple Somatic Mutation,Simple Nucleotide Variation,WGS
bc90ba42-2e52-45ed-ae07-0cbb2d2038d1,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",TCGA-BRCA.83803fb6-49a3-46a2-a927-657c4733337a.ascat2.allelic_specific.seg.txt,bc90ba42-2e52-45ed-ae07-0cbb2d2038d1,Allele-specific Copy Number Segment,Copy Number Variation,Genotyping Array
24a78373-e52e-44b1-bbdf-f8dfa14edbba,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",ec4c3a7d-73f1-475d-aa80-3fbe71dae60d.wxs.aliquot_ensemble_raw.maf.gz,24a78373-e52e-44b1-bbdf-f8dfa14edbba,Aggregated Somatic Mutation,Simple Nucleotide Variation,WXS
2b85305f-253d-46f9-bd65-3065920a154c,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",TCGA-BRCA.5655b432-189f-4a52-abfa-8f193e91540c.arriba.rna_fusion.tsv,2b85305f-253d-46f9-bd65-3065920a154c,Transcript Fusion,Structural Variation,RNA-Seq
c388e749-bf29-4659-8249-a1354fb67c83,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",9c981525-80af-4f79-b94a-be00131ab872_wxs_gdc_realn.bam,c388e749-bf29-4659-8249-a1354fb67c83,Aligned Reads,Sequencing Reads,WXS
97fc9683-a552-468a-8e6f-53e106426737,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",08bdf285-3fdf-4318-97aa-a4a3a7467c45.somatic_sv.vcf.gz,97fc9683-a552-468a-8e6f-53e106426737,Structural Rearrangement,Somatic Structural Variation,WGS
ff75015c-95de-4583-bfea-967aea2868a5,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F09_666968.nocnv_grch38.seg.v2.txt,ff75015c-95de-4583-bfea-967aea2868a5,Masked Copy Number Segment,Copy Number Variation,Genotyping Array
1a32d5ff-3b2b-411a-9343-f010c91de084,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",TCGA_BRCA.405d92fd-afb9-46b1-9b9b-b8a1a8719c13.wxs.Pindel.somatic_annotation.vcf.gz,1a32d5ff-3b2b-411a-9343-f010c91de084,Annotated Somatic Mutation,Simple Nucleotide Variation,WXS
2b96760c-1baa-4443-9705-0f2caddac9bc,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",03501b4a-f611-4f3c-aebd-891c004a33cb.wxs.muse.raw_somatic_mutation.vcf.gz,2b96760c-1baa-4443-9705-0f2caddac9bc,Raw Simple Somatic Mutation,Simple Nucleotide Variation,WXS
9a8f1705-6ee1-42a1-95b3-4a07062f75cb,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",3fd9c506-ed43-45db-bff4-6e968ac19564.rna_seq.genomic.gdc_realn.bam,9a8f1705-6ee1-42a1-95b3-4a07062f75cb,Aligned Reads,Sequencing Reads,RNA-Seq
4a944751-b349-4d31-8cdf-ad74746ffca5,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",TCGA-BRCA.3ab709a7-87e2-44e5-bce1-ca2a0fc0286e.ascat3.gene_level_copy_number.v36.tsv,4a944751-b349-4d31-8cdf-ad74746ffca5,Gene Level Copy Number,Copy Number Variation,Genotyping Array
d1bab007-84fd-45a7-ae39-1483a9dbfa21,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",fa4a7b03-ed0a-437c-8c22-290e5b0dd223.somatic.SV.bedpe,d1bab007-84fd-45a7-ae39-1483a9dbfa21,Structural Rearrangement,Structural Variation,WGS
e2974aad-b7a3-4f17-8e04-755c82bd05d3,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",3fd9c506-ed43-45db-bff4-6e968ac19564.rna_seq.transcriptome.gdc_realn.bam,e2974aad-b7a3-4f17-8e04-755c82bd05d3,Aligned Reads,Sequencing Reads,RNA-Seq
e6b5c4b3-5c43-4268-829d-df23f5978302,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",a607894f-9283-4ddc-bac7-d21d2bb7b4da.methylation_array.sesame.level3betas.txt,e6b5c4b3-5c43-4268-829d-df23f5978302,Methylation Beta Value,DNA Methylation,Methylation Array
9d041037-a56d-453e-bc88-3e5219da6919,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",f71cb25b-0b08-4ad2-80dc-31cde24b195a_noid_Red.idat,9d041037-a56d-453e-bc88-3e5219da6919,Masked Intensities,DNA Methylation,Methylation Array
9b3b74db-86c9-493d-9161-cce1f57f1e0e,"[{'case_id': 'c72cb184-462d-4009-9cdb-848782ff8a76', 'submitter_id': 'TCGA-A2-A3XT'}]",TCGA-BRCA.5770507c-4ccd-41e4-9fde-76e07abbc7d8.star_fusion.rna_fusion.tsv,9b3b74db-86c9-493d-9161-cce1f57f1e0e,Transcript Fusion,Structural Variation,RNA-Seq
717bf53c-815f-4199-a877-32af677d90ac,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",644e6591-90da-49fe-acc7-159e456f8c9b_noid_Grn.idat,717bf53c-815f-4199-a877-32af677d90ac,Masked Intensities,DNA Methylation,Methylation Array
1276e841-6767-4179-aa3b-f74943209213,"[{'case_id': 'c72cb184-462d-4009-9cdb-848782ff8a76', 'submitter_id': 'TCGA-A2-A3XT'}]",RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_G06_1245274.grch38.seg.v2.txt,1276e841-6767-4179-aa3b-f74943209213,Copy Number Segment,Copy Number Variation,Genotyping Array
b6e4b448-c3a6-4ba0-b543-0484f56ee312,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",83834ecf-bc98-416a-98c0-824229e6cfe0.rna_seq.chimeric.gdc_realn.bam,b6e4b448-c3a6-4ba0-b543-0484f56ee312,Aligned Reads,Sequencing Reads,RNA-Seq
715a5c87-4d0d-417a-8b60-557e13ebdbe7,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",TCGA-BRCA.a8fc6e93-3d2a-45dc-89af-e07d7fc2205d.star_fusion.rna_fusion.bedpe,715a5c87-4d0d-417a-8b60-557e13ebdbe7,Transcript Fusion,Structural Variation,RNA-Seq
