id,cases,file_name,file_id,data_type,submitter_id,data_category,experimental_strategy
fed0a382-2eee-4acc-af00-53a9fdcd2a61,"[{'case_id': '2b19a6b4-7a17-4452-b4aa-6fc18adc0c3c', 'submitter_id': 'TCGA-D8-A1XL'}]",2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e.rna_seq.augmented_star_gene_counts.tsv,fed0a382-2eee-4acc-af00-53a9fdcd2a61,Gene Expression Quantification,791ea339-02f7-46f5-9ca8-84a91f746fb5,Transcriptome Profiling,RNA-Seq
80d565a0-59f6-409e-8850-5d4e2b5b996d,"[{'case_id': '1dafdd64-527d-4d46-bbdf-7a97774f881b', 'submitter_id': 'TCGA-B6-A1KI'}]",9da89066-8d82-4ace-80e1-889d3c73c8eb.rna_seq.augmented_star_gene_counts.tsv,80d565a0-59f6-409e-8850-5d4e2b5b996d,Gene Expression Quantification,a3aed093-6ff6-4ba4-8abe-71a66e4f98c7,Transcriptome Profiling,RNA-Seq
263123b0-ec68-47cd-96dd-4f0795503d89,"[{'case_id': '1402082d-25c9-4148-8a1e-f58450b706bb', 'submitter_id': 'TCGA-B6-A0IP'}]",fb49b14e-d40f-4270-98b3-458ce60f2cde.rna_seq.augmented_star_gene_counts.tsv,263123b0-ec68-47cd-96dd-4f0795503d89,Gene Expression Quantification,7bf8acd2-f97e-4d1c-8411-d27f0af0a3a0,Transcriptome Profiling,RNA-Seq
f205f47f-bd57-42bf-a702-4a17d4391411,"[{'case_id': '5a4b7098-1f6a-49e9-b364-29d6d34f5bd5', 'submitter_id': 'TCGA-B6-A0IM'}]",3f32cdec-5a60-4147-b313-7c9a9dfefc78.rna_seq.augmented_star_gene_counts.tsv,f205f47f-bd57-42bf-a702-4a17d4391411,Gene Expression Quantification,7218493d-05e2-463a-a89b-1d0cef3dc94c,Transcriptome Profiling,RNA-Seq
0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3,"[{'case_id': '0045349c-69d9-4306-a403-c9c1fa836644', 'submitter_id': 'TCGA-A1-A0SB'}]",36125e17-48fd-4eea-874c-ed2e2e218402.rna_seq.augmented_star_gene_counts.tsv,0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3,Gene Expression Quantification,31af9635-125f-43a8-a373-7008f0ea0fed,Transcriptome Profiling,RNA-Seq
111b2865-e7dc-45c9-b206-20b5713714bc,"[{'case_id': 'd8d7a6c2-6427-4f47-968c-6c3affba4617', 'submitter_id': 'TCGA-A8-A08B'}]",6798cbfe-7aca-4f33-b4fc-162bf579a303.rna_seq.augmented_star_gene_counts.tsv,111b2865-e7dc-45c9-b206-20b5713714bc,Gene Expression Quantification,c97e856b-8b44-48fc-b896-7f01c20bbfb8,Transcriptome Profiling,RNA-Seq
9a1c9a5a-7b3f-463b-bc9c-e06107b2aeb7,"[{'case_id': 'c6086936-7544-4da0-8c0c-114166848483', 'submitter_id': 'TCGA-AN-A0FD'}]",ecdac97e-eec5-4753-a572-8aff707178e5.rna_seq.augmented_star_gene_counts.tsv,9a1c9a5a-7b3f-463b-bc9c-e06107b2aeb7,Gene Expression Quantification,13b763b3-a7d5-4e6d-a104-de0037eddd88,Transcriptome Profiling,RNA-Seq
931442ba-af81-4b68-beca-7285fc44b1df,"[{'case_id': '427d0648-3f77-4ffc-b52c-89855426d647', 'submitter_id': 'TCGA-3C-AALJ'}]",f2dda955-5a39-43c1-93a2-83953b2b91d1.rna_seq.augmented_star_gene_counts.tsv,931442ba-af81-4b68-beca-7285fc44b1df,Gene Expression Quantification,18307d01-a8f1-4d94-95db-0e4e5af4fa21,Transcriptome Profiling,RNA-Seq
eff9c23b-fc85-403c-8e88-86b4def8ced1,"[{'case_id': '0cf0d67c-2f7f-42a6-94f3-407d0ec46c88', 'submitter_id': 'TCGA-AC-A4ZE'}]",e7c2b898-cd11-42a1-b309-b4de1ab01965.rna_seq.augmented_star_gene_counts.tsv,eff9c23b-fc85-403c-8e88-86b4def8ced1,Gene Expression Quantification,ec714229-4ba4-4f93-9a52-ff75e889ec02,Transcriptome Profiling,RNA-Seq
a63cca36-139d-4054-9d99-9b04ddae7ec2,"[{'case_id': 'b094e8b2-8ece-4b36-8025-18073a8b873c', 'submitter_id': 'TCGA-AO-A124'}]",3d05d072-d042-4c02-aaf6-ee2e589003d6.rna_seq.augmented_star_gene_counts.tsv,a63cca36-139d-4054-9d99-9b04ddae7ec2,Gene Expression Quantification,2db4cd6c-30c8-4c91-afe6-9b3ad45710b0,Transcriptome Profiling,RNA-Seq
