,PC1,PC2
3f3b6a7b-94f0-40a3-9f16-32bab2854678.rna_seq.augmented_star_gene_counts,4.653428432089731,2.132062027604514
40a4fc74-f345-4940-be5c-249013782e4f.rna_seq.augmented_star_gene_counts,3.9184772960394487,1.1138046552520802
4152a167-7b5f-4415-81f8-b22732cc6ef7.rna_seq.augmented_star_gene_counts,0.9572024915281212,-2.7383099301731066
4665ff5e-adb6-4b88-8a42-cb25c4fda0a0.rna_seq.augmented_star_gene_counts,-1.0217346364949897,-1.4393443946112332
4ab26a32-f816-4aee-9130-12a0b3604db0.rna_seq.augmented_star_gene_counts,1.5041656675064323,-0.7870159282597348
4abffa72-e45a-405a-b53b-73900d48253d.rna_seq.augmented_star_gene_counts,0.7052827690165181,-0.39916388463820995
4ac28e68-1f0c-4e95-bdb3-4afc7dcfc34c.rna_seq.augmented_star_gene_counts,5.321752482309051,0.22879444134777038
4bd484be-2364-4a9c-841e-b60bee25af79.rna_seq.augmented_star_gene_counts,-4.304082645667828,4.833363063731838
4c6cb929-293d-452e-b7f8-d535b48cf073.rna_seq.augmented_star_gene_counts,1.8758247160673087,1.2333534185320434
4fb219d8-519a-4ce9-a3f1-28fae295424f.rna_seq.augmented_star_gene_counts,1.488785945794031,3.4467036172429433
508e541e-c751-42cd-8f8c-a57a835daf1b.rna_seq.augmented_star_gene_counts,2.6386710268244022,1.4893992609428761
52df14ea-5feb-481a-855e-0a6176744a73.rna_seq.augmented_star_gene_counts,3.315507865489969,1.2669184920072822
56bc1e6b-d1bf-4df9-b266-07ff567aad77.rna_seq.augmented_star_gene_counts,-11.467473664551198,-3.5516473662150716
57730033-1db5-4e48-81ff-b6ee4f3c0ab4.rna_seq.augmented_star_gene_counts,-0.9876983090618201,1.1707757633787894
5cc4350c-416e-4f2c-be73-12af68ad1ee4.rna_seq.augmented_star_gene_counts,-0.2627406508324475,1.0488874371756767
5dfb4024-ca51-4296-9fc7-0037b7b1e27b.rna_seq.augmented_star_gene_counts,-10.560444242066307,5.945266157255822
5fc65e17-1d90-411d-b01d-f6aaa72730f9.rna_seq.augmented_star_gene_counts,4.279000113878772,2.3552995434710984
602e3d24-a45d-4fe4-9b70-a679d93f470d.rna_seq.augmented_star_gene_counts,0.8182684326032015,-0.2513359361106155
